	S	C	N	P	richness	shannon	Proteobacteria	Bacteroidetes	Cyanobacteria	Actinobacteria	Firmicutes
3300000142	-0.224540278	-0.250378167	-0.12620493	-0.560034322	22	1.766348643	0.887285818	0.004787318	0.005704361	0.089023905	0.013198598
3300000146	-0.258667592	-0.152554088	0.001287384	-0.18951894	16	1.395361176	0.972984327	0	0	0.024681705	0
3300000147	-0.375356034	-0.334132915	-0.187329486	-0.587769028	20	1.182139117	0.996508432	0	0	0	0
3300000150	-0.268027758	-0.151043479	0.061292774	-0.508635634	49	1.896596378	0.967595098	0.001156154	0	0.028809819	0
3300000151	-0.228735529	-0.244449478	0.006092404	-0.573812397	28	1.341346317	0.983077741	0	0	0.005425292	0.007411107
3300000153	-0.263492643	-0.190362935	-0.12713964	-0.279193169	14	1.207820764	1	0	0	0	0
3300000154	-0.261832893	-0.224841587	0.016886925	-0.405081169	35	1.681795191	0.990228442	0.004107692	0	0.002489879	0
3300000160	-0.284461977	-0.166400316	0.116477374	-0.482032082	64	2.058810812	0.964525204	0.001684307	0	0.031234565	0.00143919
3300000167	-0.244873261	-0.178205918	-0.072035914	-0.349160863	16	1.260213583	0.987703006	0	0.00152631	0.010770684	0
3300000170	-0.231398453	-0.152921193	-0.038185318	-0.343270535	21	1.288896028	0.990846982	0	0	0.009153018	0
3300000171	-0.403495023	-0.39576275	-0.243747198	-0.566865301	21	1.843691085	0.837793697	0.048913192	0	0.113293111	0
3300000174	-0.164529217	-0.243667136	0.015285751	-0.540204315	44	1.78776381	0.969292815	0.027965223	0	0.001926754	0
3300000179	-0.254819761	-0.255903589	-0.179655545	-0.325543969	17	1.443695759	0.978958233	0.005966082	0.006793656	0	0.004394322
3300000181	-0.215647461	-0.258674137	-0.1235908	-0.499176303	16	1.59364286	0.796121265	0.004820418	0.004653468	0.191754782	0
